Loaded 880 problems
[base] version=v1_v5 total=4400 cached=1 pending=4399 conc=96
[base] 25/4399 new; errors=0; 48.1/min; elapsed=31s
[base] 2500/4399 new; errors=0; 12.5/min; elapsed=11961s
[base] 2525/4399 new; errors=0; 12.4/min; elapsed=12177s
[base] 2550/4399 new; errors=0; 12.2/min; elapsed=12534s
[base] 2575/4399 new; errors=0; 12.1/min; elapsed=12775s
[base] 2600/4399 new; errors=0; 12.1/min; elapsed=12873s
[base] 2625/4399 new; errors=0; 12.1/min; elapsed=13050s
[base] 2650/4399 new; errors=0; 12.0/min; elapsed=13215s
[base] 2675/4399 new; errors=0; 11.9/min; elapsed=13477s
[base] 2700/4399 new; errors=0; 12.0/min; elapsed=13528s
[base] 2725/4399 new; errors=0; 12.0/min; elapsed=13585s
[base] 2750/4399 new; errors=0; 12.1/min; elapsed=13656s
[base] 2775/4399 new; errors=0; 12.1/min; elapsed=13744s
[base] 2800/4399 new; errors=0; 12.2/min; elapsed=13818s
[base] 2825/4399 new; errors=0; 12.2/min; elapsed=13902s
[base] 2850/4399 new; errors=0; 12.2/min; elapsed=13962s
[base] 2875/4399 new; errors=0; 12.3/min; elapsed=14016s
[base] 2900/4399 new; errors=0; 12.3/min; elapsed=14168s
[base] 2925/4399 new; errors=0; 12.2/min; elapsed=14414s
[base] 2950/4399 new; errors=0; 12.2/min; elapsed=14514s
[base] 2975/4399 new; errors=0; 12.3/min; elapsed=14552s
[base] 3000/4399 new; errors=0; 12.3/min; elapsed=14589s
[base] 3025/4399 new; errors=0; 12.3/min; elapsed=14768s
[base] 3050/4399 new; errors=0; 12.3/min; elapsed=14875s
[base] 3075/4399 new; errors=0; 12.3/min; elapsed=14943s
[base] 3100/4399 new; errors=0; 12.3/min; elapsed=15064s
[base] 3125/4399 new; errors=0; 12.3/min; elapsed=15212s
[base] 3150/4399 new; errors=0; 12.2/min; elapsed=15475s
[base] 3175/4399 new; errors=0; 12.3/min; elapsed=15520s
[base] 3200/4399 new; errors=0; 12.3/min; elapsed=15588s
[base] 3225/4399 new; errors=0; 12.4/min; elapsed=15630s
[base] 3250/4399 new; errors=0; 12.4/min; elapsed=15685s
[base] 3275/4399 new; errors=0; 12.4/min; elapsed=15792s
[base] 3300/4399 new; errors=0; 12.4/min; elapsed=15943s
[base] 3325/4399 new; errors=0; 12.4/min; elapsed=16121s
[base] 3350/4399 new; errors=0; 12.2/min; elapsed=16418s
[base] 3375/4399 new; errors=0; 12.2/min; elapsed=16620s
[base] 3400/4399 new; errors=0; 12.2/min; elapsed=16708s
[base] 3425/4399 new; errors=0; 12.1/min; elapsed=16967s
[base] 3450/4399 new; errors=0; 12.1/min; elapsed=17118s
[base] 3475/4399 new; errors=0; 12.1/min; elapsed=17288s
[base] 3500/4399 new; errors=0; 12.0/min; elapsed=17501s
[base] 3525/4399 new; errors=0; 12.0/min; elapsed=17636s
[base] 3550/4399 new; errors=0; 12.0/min; elapsed=17688s
[base] 3575/4399 new; errors=0; 12.1/min; elapsed=17757s
[base] 3600/4399 new; errors=0; 12.1/min; elapsed=17829s
[base] 3625/4399 new; errors=0; 12.1/min; elapsed=17976s
[base] 3650/4399 new; errors=0; 12.1/min; elapsed=18056s
[base] 3675/4399 new; errors=0; 12.1/min; elapsed=18186s
[base] 3700/4399 new; errors=0; 12.0/min; elapsed=18492s
[base] 3725/4399 new; errors=0; 12.0/min; elapsed=18602s
[base] 3750/4399 new; errors=0; 12.0/min; elapsed=18686s
[base] 3775/4399 new; errors=0; 12.1/min; elapsed=18778s
[base] 3800/4399 new; errors=0; 12.1/min; elapsed=18839s
[base] 3825/4399 new; errors=0; 12.1/min; elapsed=18917s
[base] 3850/4399 new; errors=0; 12.2/min; elapsed=18999s
[base] 3875/4399 new; errors=0; 12.2/min; elapsed=19056s
[base] 3900/4399 new; errors=0; 12.2/min; elapsed=19219s
[base] 3925/4399 new; errors=0; 12.1/min; elapsed=19444s
[base] 3950/4399 new; errors=0; 12.1/min; elapsed=19615s
[base] 3975/4399 new; errors=0; 12.1/min; elapsed=19696s
[base] 4000/4399 new; errors=0; 12.1/min; elapsed=19770s
[base] 4025/4399 new; errors=0; 12.2/min; elapsed=19843s
[base] 4050/4399 new; errors=0; 12.2/min; elapsed=19929s
[base] 4075/4399 new; errors=0; 12.2/min; elapsed=20029s
[base] 4100/4399 new; errors=0; 12.2/min; elapsed=20089s
[base] 4125/4399 new; errors=0; 12.3/min; elapsed=20177s
[base] 4150/4399 new; errors=0; 12.3/min; elapsed=20254s
[base] 4175/4399 new; errors=0; 12.2/min; elapsed=20465s
[base] 4200/4399 new; errors=0; 12.2/min; elapsed=20738s
[base] 4225/4399 new; errors=0; 12.2/min; elapsed=20851s
[base] 4250/4399 new; errors=0; 12.2/min; elapsed=20914s
[base] 4275/4399 new; errors=0; 12.2/min; elapsed=21087s
[base] 4300/4399 new; errors=0; 12.0/min; elapsed=21540s
[base] 4325/4399 new; errors=0; 11.9/min; elapsed=21845s
[base] 4350/4399 new; errors=0; 11.8/min; elapsed=22093s
[base] 4375/4399 new; errors=0; 11.6/min; elapsed=22672s
[base] 4399/4399 new; errors=0; 11.2/min; elapsed=23552s
[base] COMPLETE 4400/4400 wall_seconds=23552.806
